Proname,Position,Team,Country,Tier
FollowHowling,Top,Liiv SANDBOX Academy,Korea,Master
FollowLarssen,Mid,Rogue,Europe,Master
FollowOncan,Top,5 Ronin,Turkey,Master
FollowDarshan,Sub,Cloud9,North America,Master
FollowFudge,Top,Cloud9,North America,Master
FollowRuby,Mid,,China,Master
FollowTeacherma,Mid,Team World Elite,China,Master
FollowMitsuki,Support,,China,Master
FollowBubbling,None,DRX Academy,Korea,Master
FollowBeware,Top,,Korea,Master
FollowLoveLing,Jungle,,China,Master
FollowArmut,Top,MAD Lions,Europe,Master
FollowAnduril,Jungle,Team AURORA,Turkey,Master
FollowCepted,Mid,,Korea,Master
FollowDecoy,Support,Pentanet.GG,Oceania,Master
FollowBuggax,Top,Infinity eSports,Liga Latinoamérica,Master
FollowGarden,ADC,,Korea,Master
FollowAK,Top,Top Esports Challenger,China,Master
FollowAD,ADC,Nongshim RedForce Academy,Korea,Master
FollowTaNa,Top,Fredit BRION Academy,Korea,Master
FollowSelfie,Mid,,Europe,Master
FollowJapone,Support,NASR eSports Turkey,Turkey,Master
FollowDoggo,ADC,PSG Talon,PCS,Master
FollowZiv,Top,Rogue Warriors,China,Master
FollowMightybear,Jungle,,Korea,Master
FollowAria,Mid,DetonatioN FocusMe,Japan,Master
FollowKeshi,Support,DWG KIA Challengers,Korea,Master
FollowSecret,Support,Rascal Jester,Japan,Master
FollowLiquidDiego,Jungle,Estral Esports,Liga Latinoamérica,Master
FollowSoHwan,Top,,Korea,Master
FollowLot,Top,İstanbul Wildcats Academy,Turkey,Master
FollowKebap,Top,SuperMassive Academy,Turkey,Master
FollowOphelia,Mid,Gen.G Academy,Korea,Master
FollowGarvey,Top,LGD Gaming,China,Master
FollowTyphoon,Jungle,Dark Passage,Turkey,Master
FollowRush,Jungle,,Korea,Master
FollowDiplex,Mid,Team Vitality.Bee,Europe,Master
FollowDread,Jungle,Afreeca Freecs,Korea,Master
FollowWoolite,ADC,Misfits Premier,Europe,Master
FollowSpecial,Mid,,Europe,Master
FollowZin,ADC,GAM Esports,Vietnam,Master
FollowDuan,Support,,China,Master
FollowNyx,Jungle,Gen.G Academy,Korea,Master
FollowShawi Katami,Support,Galakticos,Turkey,Master
FollowBaut,Support,Hanwha Life Esports Academy,Korea,Master
FollowCarlsen,Top,Astralis Talent,Europe,Master
FollowAHaHaCiK,Jungle,Unicorns of Love,Russia,Master
FollowRotteBengi,Support,Astralis Talent,Europe,Master
FollowTheShy,Top,Invictus Gaming,China,Master
FollowWannabe,Support (Sub),UCAM Esports Club,Europe,Master
FollowPraedyth,ADC,Pentanet.GG,Oceania,Master
FollowDreampullka,Top,,Russia,Master
FollowElramir,Jungle,1907 Fenerbahçe Esports,Turkey,Master
FollowXx,Jungle,,China,Master
FollowMerciless,Mid,NASR eSports Turkey Academy,Turkey,Master
FollowGriffon,Mid,CrowCrowd,Russia,Master
FollowCinkrof,Jungle,Karmine Corp,Europe,Master
FollowCody,Mid,Infinity eSports,Liga Latinoamérica,Master
FollowHooks,ADC,100 Thieves Next,North America,Master
FollowBearcute,Jungle,,Russia,Master
FollowGilius,Jungle,FC Schalke 04,Europe,Master
FollowChibs,Mid (Sub),Fnatic Rising,Europe,Master
FollowCorporal,Support,Fukuoka SoftBank Hawks gaming,Japan,Master
FollowProfessor,Support,,Brazil,Master
FollowAmazingJ,Top,,China,Master
FollowKaiwing,Support,PSG Talon,PCS,Master
FollowMask,Mid,Hanwha Life Esports Academy,Korea,Master
FollowMatt Elento,None,Evil Geniuses Academy,North America,Master
FollowShark,ADC,,Korea,Master
FollowJustice,Mid,,Korea,Master
FollowBigShot,Jungle,,Korea,Master
FollowRock,Top,,PCS,Master
FollowFastlegged,Support,,Turkey,Master
FollowDellal,Support,Team AURORA,Turkey,Master
FollowRoad,Support,Gen.G Academy,Korea,Master
FollowSolidSnake,Jungle,Infinity eSports,Liga Latinoamérica,Master
FollowKemba,ADC,Galakticos Academy,Turkey,Master
FollowWadid,Support,All Knights,Liga Latinoamérica,Master
FollowSteeelback,Support,,Europe,Master
FollowPbd,Support,Dark Passage,Turkey,Master
FollowKingKong,ADC,Liiv SANDBOX Academy,Korea,Master
FollowWhiteLotus,ADC,Infinity eSports,Liga Latinoamérica,Master
FollowFLahm,Support,,Korea,Master
FollowSwift,Jungle,,China,Master
FollowLodik,ADC,Unicorns of Love,Russia,Master
FollowArthur,Jungle,Hanwha Life Esports,Korea,Master
FollowBlossom,Jungle,,Brazil,Master
FollowMystic,ADC,JD Gaming,China,Master
FollowKongyue,Jungle,,PCS,Master
FollowUniboy,Mid,LGD Gaming,China,Master
Followicon,Mid,LNG Esports,China,Master
FollowBurry,Jungle,Afreeca Freecs Academy,Korea,Master
FollowAbsolute,Support,SuperMassive eSports,Turkey,Master
FollowNova,Support,,Korea,Master
FollowSamux,ADC,,Europe,Master
FollowDumbledoge,Support,,Turkey,Master
FollowKobbe,ADC,Misfits,Europe,Master
FollowSkash,Support,CrowCrowd,Russia,Master
FollowTool,Support,Fredit BRION Academy,Korea,Master
FollowBando,Top,,Europe,Master
FollowMoo,ADC,,Korea,Master
FollowShlatan,Jungle,Misfits Premier,Europe,Master
FollowSmeb,Top,,Korea,Master
FollowPak,Mid,GamersOrigin,Europe,Master
FollowPart,Top,,Korea,Master
FollowAmbition,Jungle,Gen.G,Korea,Master
FollowOnce,Jungle,Burning Core,Japan,Master
FollowKanani,Jungle,,Europe,Master
FollowBeichen,Jungle,Oh My God,China,Master
FollowKeysie,Mid,,Russia,Master
FollowJunJia,Jungle,EDward Gaming Youth Team,China,Master
FollowUnho1y,ADC,,Russia,Master
FollowFrozen,None,,Korea,Master
FollowSsumday,Top,100 Thieves,North America,Master
FollowCrow,Mid,,Korea,Master
FollowKrastyel,Mid,Vorax,Brazil,Master
FollowGoku,Mid,Flamengo eSports,Brazil,Master
FollowSolo,Top,Golden Guardians Academy,North America,Master
FollowBwipo,Top,Fnatic,Europe,Master
FollowAlive,ADC,Beşiktaş e-Sports Club,Turkey,Master
FollowKaiser,Support,MAD Lions,Europe,Master
FollowSparz,Support,1907 Fenerbahçe Esports,Turkey,Master
FollowSkewer,Top,5 Ronin Academy,Turkey,Master
FollowNeramin,ADC,1907 Fenerbahçe Esports,Turkey,Master
FollowZherathor,Mid,Astralis SB,Europe,Master
FollowGrell,Jungle,All Knights,Liga Latinoamérica,Master
FollowEngo,Top,,North America,Master
FollowPREP,Jungle,Fredit BRION Academy,Korea,Master
FollowADD,Top,,China,Master
FollowMax,None,Hanwha Life Esports,Korea,Master
Followmithy,None,Cloud9,North America,Master
FollowNagne,Mid,,Korea,Master
FollowVoyboy,Top,,North America,Master
Followilllima,Top,DRX Academy,Korea,Master
Followmidkid,Mid,İstanbul Wildcats Academy,Turkey,Master
FollowZelt,Top,Estral Esports,Liga Latinoamérica,Master
FollowPluvia,Mid,Fredit BRION Academy,Korea,Master
FollowRumor,ADC,,Korea,Master
FollowLibra,Top,Dark Passage Academy,Turkey,Master
FollowMxe,Support,Dark Passage Academy,Turkey,Master
FollowUntara,Top,,Korea,Diamond I
FollowCuVee,None,Gen.G,Korea,Diamond I
FollowHelper,None,PSG Talon,PCS,Diamond I
FollowKuro,Mid,,Korea,Diamond I
FollowShy,Top,Hanwha Life Esports,Korea,Diamond I
FollowShrimp,Jungle,,Korea,Diamond I
FollowRekkles,ADC,G2 Esports,Europe,Diamond I
FollowClearlove,Jungle,EDward Gaming,China,Diamond I
FollowMission,Mid,J Team,PCS,Diamond I
FollowDeftly,ADC,Evil Geniuses,North America,Diamond I
FollowSS,ADC,,Korea,Diamond I
FollowV1per,Top,No Org,North America,Diamond I
FollowRest,Top,J Team,PCS,Diamond I
FollowWerlyb,Top,,Europe,Diamond I
FollowKumo,Top,FlyQuest Academy,North America,Diamond I
FollowLIDER,Mid,mousesports,Europe,Diamond I
FollowOrome,Top,BT Excel,Europe,Diamond I
Follow3z,Top,Hong Kong Attitude,PCS,Diamond I
FollowBardBerry,Support,,Russia,Diamond I
FollowHighDin,Support,,Korea,Diamond I
FollowWorld6,Jungle,,China,Diamond I
FollowWeiYan,Jungle,,China,Diamond I
FollowMoyu,Top,,China,Diamond I
FollowExecute,Support,,Korea,Diamond I
FollowHakaM,ADC,,Korea,Diamond I
FollowRedHand,Jungle,,Turkey,Diamond I
FollowBgob,Jungle,,Brazil,Diamond I
FollowHusky Rider,ADC,,Turkey,Diamond I
FollowElyoya,Jungle,MAD Lions,Europe,Diamond I
FollowTumay,Jungle,Galakticos,Turkey,Diamond I
FollowRhuckz,Support,Fnatic Rising,Europe,Diamond I
FollowHP1,Support,DRX Academy,Korea,Diamond I
FollowChelly,None,,Korea,Diamond I
FollowWodex,ADC (Sub),UCAM Esports Club,Europe,Diamond I
FollowFury,None,Suning Gaming,China,Diamond I
FollowGimliques,Top,RoX,Russia,Diamond I
FollowAckerman,Support,Infinity eSports,Liga Latinoamérica,Diamond I
FollowDoss,Support,,Europe,Diamond I
FollowSzygenda,Top,Team Vitality,Europe,Diamond I
FollowRobin,Jungle,Beşiktaş e-Sports Club,Turkey,Diamond I
FollowMove,Jungle,,Turkey,Diamond I
FollowDooTi,ADC,,Korea,Diamond I
FollowZero,Support,,China,Diamond I
FollowShikari,Top,,Europe,Diamond I
FollowHatrixx,Mid,BT Excel,Europe,Diamond I
FollowBehind,Support,DWG KIA Challengers,Korea,Diamond I
FollowLuka,Mid,5 Ronin Academy,Turkey,Diamond I
FollowRaziel,ADC,Astralis SB,Europe,Diamond I
FollowON,Support,Suning Gaming,China,Diamond I
FollowMeaning,Top,Gen.G Academy,Korea,Diamond I
FollowSimSin,Support,,Russia,Diamond I
FollowLinsanity,Mid,,North America,Diamond I
FollowSky,Mid,RED Canids,Brazil,Diamond I
FollowMotive,Support,OZ Gaming,Korea,Diamond I
FollowShemek,Top,,Europe,Diamond I
Followzig,Top,,North America,Diamond I
FollowGoldenglue,None,100 Thieves Academy,North America,Diamond I
FollowmicaO,ADC,INTZ e-Sports,Brazil,Diamond I
FollowJackeyLove,ADC,Top Esports,China,Diamond I
FollowBonnie,Jungle,KT Rolster Academy,Korea,Diamond I
FollowMerit,ADC,DRX Academy,Korea,Diamond I
FollowHuni,Top,Team SoloMid,North America,Diamond I
FollowGorillA,Support,,Korea,Diamond I
FollowIan,Mid,,Korea,Diamond I
FollowImpact,Top,Evil Geniuses,North America,Diamond I
FollowJensen,Mid,Team Liquid,North America,Diamond I
FollowHuhi,Support,100 Thieves,North America,Diamond I
FollowXmithie,Jungle,,North America,Diamond I
FollowLira,None,Afreeca Freecs,Korea,Diamond I
FollowApollo,ADC,,North America,Diamond I
FollowLourlo,Top,Team Dignitas Academy,North America,Diamond I
FollowHauntzer,Top,TSM Academy,North America,Diamond I
FollowOdoamne,Top,Rogue,Europe,Diamond I
FollowFebiven,Mid,Fnatic Rising,Europe,Diamond I
FollowpbO,ADC,Cruzeiro eSports,Brazil,Diamond I
FollowEnvy,Mid,INTZ e-Sports,Brazil,Diamond I
FollowAbsolut,ADC,Flamengo eSports,Brazil,Diamond I
FollowDudsTheBoy,ADC,LOUD,Brazil,Diamond I
Followk1ng,ADC,Cloud9 Academy,North America,Diamond I
FollowRookie,Mid,Invictus Gaming,China,Diamond I
FollowWako,ADC,,PCS,Diamond I
FollowAlex,Jungle,AHQ e-Sports Club,PCS,Diamond I
FollowDuke,Top,,China,Diamond I
FollowBaolan,Support,Invictus Gaming,China,Diamond I
FollowBeryL,Support,DWG KIA,Korea,Diamond I
FollowCeros,Mid,DetonatioN FocusMe,Japan,Diamond I
FollowGriffin,Jungle,,North America,Diamond I
FollowTuesday,Mid,,North America,Diamond I
FollowSpica,Jungle,Team SoloMid,North America,Diamond I
FollowHollow,ADC,,Korea,Diamond I
FollowTolerant,Support,Schalke Evolution,Europe,Diamond I
FollowLoveZrr,Top,,China,Diamond I
FollowLangx,Top,Victory Five,China,Diamond I
FollowKireas,Jungle,SuperMassive eSports,Turkey,Diamond I
FollowShad0w,Jungle,,Europe,Diamond I
FollowLeyan,Jungle,Rare Atom,China,Diamond I
FollowItsCortez,Jungle,Dragon Army,Russia,Diamond I
FollowMaxim,Mid,RoX,Russia,Diamond I
FollowVeritas,ADC,,Korea,Diamond I
FollowYsera,Support,,PCS,Diamond I
FollowApex,Mid,,PCS,Diamond I
FollowMistyStumpey,Top,Columbia College,North America,Diamond I
FollowAgresivoo,Top,Misfits,Europe,Diamond I
FollowEradan,Top,,Brazil,Diamond I
FollowCube,Top,Rare Atom,China,Diamond I
FollowLuana,Top,Galatasaray Esports,Turkey,Diamond I
FollowPride,Top,Fnatic Rising,Europe,Diamond I
FollowEuaaang,Top,,Korea,Diamond I
FollowGone,Mid,DWG KIA Challengers,Korea,Diamond I
Follow57,Jungle,,China,Diamond I
FollowShine,Mid,Hanwha Life Esports Academy,Korea,Diamond I
FollowCrowno,Top,,Europe,Diamond I
FollowArnax,Mid,Dragon Army,Russia,Diamond I
FollowArcher,ADC,,Japan,Diamond I
FollowVins,Mid,Fredit BRION Academy,Korea,Diamond I
FollowKamil,Jungle,Team AURORA,Turkey,Diamond I
FollowPyrka,Support,AGO ROGUE,Europe,Diamond I
FollowRylle,Mid,Astralis Talent,Europe,Diamond I
FollowKronos,None,Astralis Talent,Europe,Diamond I
FollowKazu,Support,DetonatioN FocusMe,Japan,Diamond I
FollowHades,Jungle,UCAM Esports Club,Europe,Diamond I
FollowDan Dan,Top,LDLC OL,Europe,Diamond I
FollowBenji,ADC,,North America,Diamond I
FollowJoker,Support,,Korea,Diamond I
FollowHades,ADC,,Turkey,Diamond I
FollowNeos,ADC,,Turkey,Diamond I
FollowMakNooN,Top,,Korea,Diamond I
FollowEliWood,Support,İstanbul Wildcats Academy,Turkey,Diamond I
FollowLight,ADC,,Korea,Diamond I
FollowOnly35,Support,,Turkey,Diamond I
FollowCanee,Jungle (Sub),SK Gaming,Europe,Diamond I
FollowRiss,Top,Hanwha Life Esports Academy,Korea,Diamond I
FollowAttila,ADC,Vodafone Giants.Spain,Europe,Diamond I
FollowVentair,Top,,Europe,Diamond I
FollowBush,Top,,PCS,Diamond I
FollowNew,Top,Oh My God,China,Diamond I
FollowKira,Top,,Russia,Diamond I
FollowZvene,Top,,Europe,Diamond I
FollowYuuki,Mid,LGD Gaming,China,Diamond I
FollowyoHan,Jungle (Sub),Hanwha Life Esports,Korea,Diamond I
FollowDiamante,Mid (Sub),Misfits Premier,Europe,Diamond I
FollowJorx,Jungle,,Europe,Diamond I
FollowValhalla,ADC,,Russia,Diamond I
FollowMinggu,Top,Fredit BRION Academy,Korea,Diamond I
FollowSwifte,Support,,North America,Diamond I
FollowMilica,Mid,Team Vitality,Europe,Diamond I
FollowYellOwStaR,Support,LDLC OL,Europe,Diamond I
FollowMountain,None,,PCS,Diamond I
FollowAnechek,Jungle,,Russia,Diamond I
FollowFlame,Top,,Korea,Diamond I
FollowRhioni,ADC,Team AURORA,Turkey,Diamond I
Followpromisq,Support,Astralis,Europe,Diamond I
FollowDan,Jungle,exceL Esports,Europe,Diamond I
FollowGIDEON,Jungle,KT Rolster,Korea,Diamond I
FollowSnow,ADC,Invictus Gaming,China,Diamond I
FollowBluff,Jungle,OZ Gaming,Korea,Diamond I
FollowSpace,ADC,,Korea,Diamond I
FollowAlex Ich,Mid,,North America,Diamond I
FollowEdge,Mid,,Korea,Diamond I
FollowSnowFlower,Support,,Korea,Diamond I
FollowCharger,Top,,Russia,Diamond I
FollowNugget,Support,Winners,Korea,Diamond I
FollowKamikaze,Mid,Astralis SB,Europe,Diamond I
FollowMaRin,Top,,Korea,Diamond I
FollowBroCColi,Jungle,5 Ronin,Turkey,Diamond I
FollowAres,None,DWG KIA,Korea,Diamond I
FollowTardis,Top,5 Ronin Academy,Turkey,Diamond I
FollowLele,Sub,Royal Never Give Up,China,Diamond I
FollowNoah,ADC,KT Rolster Academy,Korea,Diamond I
FollowNandisko,Top,,Europe,Diamond I
FollowHai,Mid,,North America,Diamond I
FollowFocus,ADC,NASR eSports Turkey,Turkey,Diamond I
FollowNL,ADC,,PCS,Diamond I
FollowSlay,ADC,GAM Esports,Vietnam,Diamond I
FollowMimic,Top,,Oceania,Diamond I
FollowGuGer,Support,,Korea,Diamond I
FollowZeros,Top,,Vietnam,Diamond I
FollowDantal,Jungle,DRX Academy,Korea,Diamond I
FollowLava,Mid,Fredit BRION,Korea,Diamond I
FollowMadlife,None,Hanwha Life Esports,Korea,Diamond I
FollowMadly,Top,,Turkey,Diamond I
FollowKane,ADC,,China,Diamond I
FollowDamonte,Mid,100 Thieves,North America,Diamond I
FollowLevi,Jungle,GAM Esports,Vietnam,Diamond I
FollowLicorice,Top,FlyQuest,North America,Diamond I
FollowZeyzal,Support,,North America,Diamond I
FollowCrash,Jungle,Sengoku Gaming,Japan,Diamond I
FollowHana,Jungle,J Team,PCS,Diamond I
FollowGango,ADC,Sengoku Gaming,Japan,Diamond I
FollowLilv,ADC,J Team,PCS,Diamond I
FollowHieu3,Support,GAM Esports,Vietnam,Diamond I
FollowPawN,Mid,,Korea,Diamond I
FollowRhilech,Jungle,Team AURORA Academy,Turkey,Diamond I
FollowReven,None,,Brazil,Diamond I
FollowCoco,None,,Korea,Diamond I
FollowCandy,Mid,,PCS,Diamond I
FollowFoxYa,Jungle,,PCS,Diamond I
FollowAzuzabi,Top,Galakticos Academy,Turkey,Diamond I
FollowHustlinbeasT,Support,Team Vitality.Bee,Europe,Diamond I
FollowWolf,Support,T1,Korea,Diamond I
FollowFalco,Support,,Europe,Diamond I
FollowSatorius,Top,mousesports,Europe,Diamond I
FollowRather,None,LNG Esports,China,Diamond I
FollowLenom,Top,1907 Fenerbahçe Esports,Turkey,Diamond I
FollowHachani,None,,Korea,Diamond I
FollowJosedeodo,Jungle,FlyQuest,North America,Diamond I
FollowFelix,Jungle,Gen.G Academy,Korea,Diamond I
FollowShellkunchik,Top,,Russia,Diamond I
FollowPout,Mid,Fredit BRION Academy,Korea,Diamond I
FollowGBM,None,T1,Korea,Diamond I
FollowCaD,Jungle,Hanwha Life Esports Academy,Korea,Diamond I
FollowSeongHwan,Jungle,,Brazil,Diamond I
FollowRamune,Mid,Sengoku Gaming,Japan,Diamond I
FollowRakin,Mid (Sub),Team Liquid Academy,North America,Diamond I
FollowTaikki,Jungle,,Turkey,Diamond I
FollowDiscotEkka,Mid,,Russia,Diamond I
FollowPaladin,Top,,Korea,Diamond I
FollowNano,Support,,Brazil,Diamond I
FollowConus,Support,DRX Academy,Korea,Diamond I
FollowInori,Jungle,,North America,Diamond II
FollowXpecial,Support,,North America,Diamond II
FollowLies,Top,,China,Diamond II
Followloulex,Jungle,,North America,Diamond II
FollowGgoong,None,Gen.G,Korea,Diamond II
FollowWeiLun,ADC (Sub),,PCS,Diamond II
FollowDeul,ADC,,Korea,Diamond II
FollowTusiN,Support,,Korea,Diamond II